Source City,Destination City,Bus Operator,Timing
BATALA,CHANDIGARH,PUNBUS,12:21:00
BATALA,CHINTPURNI,PUNBUS,5:04:00
"BATALA,DEHLI,PUNBUS,15:21:00
BATALA,JALANDHAR,PUNBUS,11:14:00
BATALA,LUDHIANA,PUNBUS,14:46:00
BATALA,MOGA,PUNBUS,10:18:00
BATALA,PATIALA,PUNBUS,12:13:00
BATALA,SANGRUR,PUNBUS,13:15:00
BATALA,YAMUNANAGAR,PUNBUS,11:44:00
CHANDIGARH,FEROZEPUR,PUNBUS,11:01:00
CHANDIGARH,HOSHIARPUR,PUNBUS,11:02:00
CHANDIGARH,JAMMU,PUNBUS,11:05:00
CHANDIGARH,KATRA,PUNBUS,3:03:00
FEROZEPUR,AMBALA,PUNBUS,11:29:00
FEROZEPUR,DABBWALI,PUNBUS,11:05:00
FEROZEPUR,DELHI,PUNBUS,7:17:00
FEROZEPUR,FARIDKOT,PUNBUS,10:01:00
FEROZEPUR,FAZILKA,PUNBUS,10:02:00
FEROZEPUR,GANGANAGAR,PUNBUS,11:00:00
FEROZEPUR,GURUHARSHAI,PUNBUS,10:03:00
FEROZEPUR,HISAR,PUNBUS,10:35:00
FEROZEPUR,NANGAL,PUNBUS,10:14:00
FEROZEPUR,NAWANSHEHAR,PUNBUS,11:35:00
HOSHIARPUR,BATALA,PUNBUS,10:21:00
HOSHIARPUR,DASUYA,PUNBUS,10:16:00
HOSHIARPUR,FIROZPUR,PUNBUS,10:25:00
HOSHIARPUR,GURDASPUR,PUNBUS,7:17:00
HOSHIARPUR,HAMIRPUR,PUNBUS,10:05:00
HOSHIARPUR,PATHANKOT,PUNBUS,10:16:00
TARNTARAN,POUNTASAHIB,PUNBUS,0:26:00
PATHANKOT,AMRITSAR,PUNBUS,10:09:00
PATHANKOT,CHAMBA,PUNBUS,13:55:00
PATHANKOT,DALHOUSIE,PUNBUS,12:25:00
PATHANKOT,HARIDWAR,PUNBUS,8:19:00
PATHANKOT,MALOUT,PUNBUS,0:40:00
NANGAL,BAIJNATH,PUNBUS,19:03:00
NANGAL,FEROZPUR,PUNBUS,5:34:00
NANGAL,MAHILPUR,PUNBUS,4:05:00
NANGAL,MERUT,PUNBUS,9:05:00
NANGAL,TALWARA,PUNBUS,11:04:00
NANGAL,YAMUNANGAR,PUNBUS,14:03:00
LUDHIANA,BARNALA,PUNBUS,18:22:00
LUDHIANA,FARIDABAD,PUNBUS,7:55:00
LUDHIANA,KURUKSHETRA,PUNBUS,8:07:00
LUDHIANA,MANALI,PUNBUS,7:44:00
LUDHIANA,MANIKARAN,PUNBUS,6:59:00
LUDHIANA,MUKATSAR,PUNBUS,10:11:00
LUDHIANA,PAHEWA,PUNBUS,12:33:00
JALANDHAR,ANANDPURSAHIB,PUNBUS,10:29:00
JALANDHAR,BATHINDA,PUNBUS,5:04:00
JALANDHAR,DEHRADOON,PUNBUS,8:54:00
JALANDHAR,DHARAMSHALA,PUNBUS,11:35:00
JALANDHAR,FATEHGARHSAHIB,PUNBUS,13:01:00
JALANDHAR,FAZLIKA,PUNBUS,6:01:00
JALANDHAR,HANUMANGARH,PUNBUS,8:01:00
JALANDHAR,HARIDAWAR,PUNBUS,11:04:00
JALANDHAR,KALKA,PUNBUS,7:08:00
JALANDHAR,MANSA,PUNBUS,6:01:00
JALANDHAR,PAUNTASAHIB,PUNBUS,9:35:00
JALANDHAR,SHAHTALAI,PUNBUS,11:48:00
JALANDHAR,SHIMLA,PUNBUS,11:12:00
JALANDHAR,TARANTAARAN,PUNBUS,12:35:00
JALANDHAR,UDHAMPUR,PUNBUS,11:12:00
JALANDHAR,VIJAYNAGAR,PUNBUS,7:05:00"
