Route,Method,Function Name
/,"GET,OPTIONS,HEAD",index
/login,"GET,OPTIONS,HEAD",login
/register,"GET,OPTIONS,HEAD",register
/inventory,"GET,OPTIONS,HEAD",inventory
/home,"GET,OPTIONS,HEAD",home
/register-form,"POST,OPTIONS",register_vet
/add-customer,"POST,OPTIONS",add_customer
/update-customer-db,"POST,OPTIONS",update_customer_in_db
/login-form,"POST,OPTIONS",login_vet
/logout,"GET,OPTIONS,HEAD",logout
/fetch-customers,"GET,OPTIONS,HEAD",fetch_customers_of_vet
/fetch-pets/<id>,"GET,OPTIONS,HEAD",fetch_pets_of_customer
/fetch-all-pets,"GET,OPTIONS,HEAD",fetch_all_pets
/fetch-all-consultations,"GET,OPTIONS,HEAD",fetch_all_consultations
/fetch-consultation-customer-pets/<id>,"GET,OPTIONS,HEAD",fetch_consultations_of_customer_pets
/delete-customer/<id>,"GET,OPTIONS,HEAD",delete_customer
/update-customer/<id>,"GET,OPTIONS,HEAD",update_customer
/search,"GET,OPTIONS,HEAD",search
/add-pet/<id>,"GET,OPTIONS,HEAD",add_pet
/save-pet,"POST,OPTIONS",save_pet
/update-pet/<id>,"GET,OPTIONS,HEAD",update_pet
/update-pet-db,"POST,OPTIONS",update_pet_in_db
/delete-pet/<id>,"GET,OPTIONS,HEAD",delete_pet
/add-consultation/<id>,"GET,OPTIONS,HEAD",add_consultation
/save-consultation,"POST,OPTIONS",save_consultation
/update-consultation/<id>,"GET,OPTIONS,HEAD",update_consultation
/update-consultation-db,"POST,OPTIONS",update_consultation_in_db
/delete-consultation/<id>,"GET,OPTIONS,HEAD",delete_consultation
/search-customer,"POST,OPTIONS",search_customer
